"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007611","learning or memory","56/1473","282/18805",0.198581560283688,2.53518414197879,7.57236467614594,7.27935590706851e-11,4.11429195867512e-07,3.62818423368099e-07,"ABCA7/ADCY1/ADCY3/ADGRB3/AFF2/ATP1A2/BCHE/BRINP1/CALB1/CAMK4/CHRNB2/CLDN5/CNTNAP2/CRH/CX3CR1/EGR2/FOSL1/FZD9/GIT1/GM2A/GPR88/GRIN2A/GRM5/HIF1A/HMGCR/ITGA5/ITPR3/KAT2A/KIT/KRAS/MAPK1/NLGN3/NLGN4X/NPAS4/NRXN1/NRXN3/NTRK2/OPRL1/PJA2/PLCB1/PRKAR2B/PRKN/PTPRZ1/RAPGEF3/RASGRF1/RELN/SCN2A/SLC6A1/SORCS3/SYNJ1/SYT11/TAFA2/TNR/TUBA1A/UCN/VPS13B",56
"GO:0007612","learning","38/1473","160/18805",0.2375,3.03203496266124,7.52509744299387,4.34091840415638e-10,1.22674354101459e-06,1.08180256019371e-06,"ABCA7/ADCY3/ADGRB3/ATP1A2/BCHE/CHRNB2/CLDN5/CNTNAP2/CRH/FOSL1/GIT1/GPR88/GRIN2A/GRM5/HIF1A/HMGCR/KIT/KRAS/NLGN3/NLGN4X/NPAS4/NRXN1/NRXN3/NTRK2/OPRL1/PLCB1/PRKAR2B/PRKN/RAPGEF3/RELN/SLC6A1/SORCS3/SYNJ1/SYT11/TAFA2/TNR/TUBA1A/UCN",38
"GO:0050890","cognition","59/1473","329/18805",0.179331306990881,2.28942649556248,6.87848376674875,1.48246793540941e-09,2.79296959031133e-06,2.46297742953107e-06,"ABCA7/ADCY1/ADCY3/ADGRB3/AFF2/ATP1A2/BCHE/BRINP1/CALB1/CAMK4/CHRNB2/CLDN5/CNTNAP2/CRH/CX3CR1/DOP1B/EGR2/FOSL1/FZD9/GIT1/GM2A/GPR158/GPR88/GRIN2A/GRM5/HIF1A/HMGCR/ITGA5/ITPR3/KAT2A/KIT/KRAS/MAPK1/NLGN3/NLGN4X/NPAS4/NRXN1/NRXN3/NTRK2/OPRL1/PJA2/PLCB1/PRKAR2B/PRKN/PTPRZ1/RAPGEF3/RASGRF1/RELN/SCN2A/SLC6A1/SORCS3/SYNJ1/SYT11/TAFA2/TNR/TTC8/TUBA1A/UCN/VPS13B",59
"GO:0007411","axon guidance","45/1473","238/18805",0.189075630252101,2.41382703794349,6.39905800864229,2.53436770617212e-08,3.09344225600365e-05,2.7279489481464e-05,"ANOS1/ARK2C/BDNF/BMPR2/CDH4/CNTN1/CNTN5/CRPPA/CXCL12/DRAXIN/ECE1/EDN3/EFNA1/EGR2/EPHA3/EPHA4/EPHA5/EPHA6/EPHB1/EPHB3/EPHB6/ETV1/KIF5B/MYOT/NOTCH2/NRCAM/NRXN1/NRXN3/NTN4/PTPRM/PTPRO/RELN/ROBO2/ROBO3/SEMA3C/SEMA3D/SEMA3F/SEMA3G/SEMA5A/SLIT3/TNR/TTC8/TUBB2B/UNC5D/VASP",45
"GO:0097485","neuron projection guidance","45/1473","239/18805",0.188284518828452,2.40372734322406,6.36685107497482,2.88993178247441e-08,3.09344225600365e-05,2.7279489481464e-05,"ANOS1/ARK2C/BDNF/BMPR2/CDH4/CNTN1/CNTN5/CRPPA/CXCL12/DRAXIN/ECE1/EDN3/EFNA1/EGR2/EPHA3/EPHA4/EPHA5/EPHA6/EPHB1/EPHB3/EPHB6/ETV1/KIF5B/MYOT/NOTCH2/NRCAM/NRXN1/NRXN3/NTN4/PTPRM/PTPRO/RELN/ROBO2/ROBO3/SEMA3C/SEMA3D/SEMA3F/SEMA3G/SEMA5A/SLIT3/TNR/TTC8/TUBB2B/UNC5D/VASP",45
"GO:0042391","regulation of membrane potential","71/1473","463/18805",0.153347732181425,1.95770814913218,6.08278530791354,3.28390897664931e-08,3.09344225600365e-05,2.7279489481464e-05,"ABCC9/ATP1A2/ATP1B2/BAX/BCO2/BOK/CACNA1G/CACNB4/CAV1/CDKN2A/CHRNA10/CHRNA2/CHRNA3/CHRNB2/DMPK/FZD9/GABRA1/GABRA2/GABRB1/GABRE/GABRR2/GLRA2/GPER1/GPR35/GPR88/GRID2/GRIN2A/GRM5/GSK3B/HTR3B/IFI6/KCNA1/KCNA2/KCND2/KCNE4/KCNE5/KCNH1/KCNK1/KCNK6/KCNMB3/KCNS2/KCNV1/KIF5B/MTLN/NALCN/NLGN3/NLGN4X/NNT/NPAS4/NPFF/NRCAM/NRXN1/NTRK2/NUP155/P2RX7/PIEZO2/PKP2/PRKN/RELN/RGS7BP/RIMS1/SCN2A/SCN5A/SCN8A/SEZ6/SLC1A6/SLC4A11/SLC4A4/TRPV1/TSPO/ZMYND8",71
"GO:0048525","negative regulation of viral process","22/1473","76/18805",0.289473684210526,3.69555507914389,6.86435706362549,4.68065203897499e-08,3.77929218918381e-05,3.33276502324009e-05,"BST2/HEXIM1/IFI16/IFIH1/IFIT1/IFITM1/IFITM2/IFITM3/IL32/ISG15/ISG20/LARP7/MID2/MX1/OAS1/OAS2/OAS3/OASL/RSAD2/SHFL/SP100/TRIM21",22
"GO:0009615","response to virus","66/1473","425/18805",0.155294117647059,1.98255660716425,5.97284777505661,6.15418295493171e-08,4.34793025765925e-05,3.83421793310548e-05,"ABCC9/AGBL4/AUP1/BAX/BCL3/BST2/CCDC92/CHRM2/CXCL12/CXCR4/DCLK1/DDIT4/DHX58/DTX3L/FGR/FOSL1/HERC5/HIF1A/HSP90AA1/HSPB1/HYAL1/HYAL2/IFI16/IFI44/IFI6/IFIH1/IFIT1/IFIT2/IFIT3/IFITM1/IFITM2/IFITM3/IKBKE/IL33/IRF1/IRF3/ISG15/ISG20/LGALS9/MID2/MLKL/MOV10/MX1/MX2/NLRC5/NMI/OAS1/OAS2/OAS3/OASL/PARP9/PENK/POLR3B/RELA/RIGI/RNASE2/RSAD2/SHFL/TBKBP1/TLR9/TRIM21/TRIM41/TRIM56/VAMP8/ZDHHC11/ZDHHC11B",66
"GO:0060078","regulation of postsynaptic membrane potential","32/1473","150/18805",0.213333333333333,2.7235121068115,6.17823602942233,1.5185720244906e-07,9.50883898882826e-05,8.38536011697803e-05,"CHRNA10/CHRNA2/CHRNA3/CHRNB2/DMPK/GABRA1/GABRA2/GABRB1/GABRE/GABRR2/GLRA2/GRID2/GRIN2A/GRM5/GSK3B/HTR3B/KCNA1/KCNA2/KCND2/KCNK1/NLGN3/NLGN4X/NPAS4/NPFF/NRXN1/P2RX7/RELN/RGS7BP/RIMS1/SEZ6/TRPV1/ZMYND8",32
"GO:0010038","response to metal ion","56/1473","347/18805",0.161383285302594,2.06029374074357,5.81166762628114,1.68238481755631e-07,9.50883898882826e-05,8.38536011697803e-05,"ABCC9/ADAM9/ADCY1/AKR1C3/ATF4/ATP1A2/ATP5F1D/CACNA1G/CAV1/CD14/CYBRD1/GIPR/GLRA2/HAMP/HIF1A/HMOX1/HOMER1/HSD17B1/ITPKB/ITPR3/JUND/KCNA1/KCNH1/KCNMB3/KIT/MEF2A/MT1A/MT1E/MT1G/MT1H/MT1M/MT1X/MT2A/MT3/NRXN1/P2RX7/PAM/PCSK1/PENK/PRKAA1/PRKAA2/PRKN/SCN5A/SLC11A1/SLC25A39/SLC30A4/SLC6A1/SMPD3/TCIRG1/TFRC/THBS1/TLR9/TNNT2/TRPC3/TSPO/TUBA1A",56
