Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AZGP1,249.7693682841702,3.4411938173826497,0.35139284918931807,9.79301037377871,1.2064923779575976e-22,2.0201508376522014e-18
PTPRZ1,1026.9939915530847,-1.9218021426593668,0.20773371148529393,-9.251277170751443,2.2182602630172672e-20,1.5533894806882444e-16
LOC124903058,69.84722490071516,3.9490936170205226,0.427993258606351,9.22699957910487,2.783187077200629e-20,1.5533894806882444e-16
PLEKHA4,106.57218392469872,2.8303213075822558,0.3102438733880975,9.12289186140248,7.314594370458924e-20,2.4495113627792845e-16
PCDHGC3,419.5119400316042,-2.50870844401241,0.2747482238990564,-9.130935983535672,6.790959215209878e-20,2.4495113627792845e-16
LOC124900676,77.92912386790553,3.8174226786609577,0.44063554711404757,8.663446931740422,4.5770966312517924e-18,1.2773150998946668e-14
HSPB1,1696.2281079161949,2.985027445429819,0.34671279009851863,8.60951061130921,7.337313238088635e-18,1.7550853265508016e-14
AQP4,2130.3003173973975,-1.7688153870440477,0.20660051149642797,-8.561524723401421,1.1138452584763784e-17,2.33127812599106e-14
SYN3-AS1,146.8192103511091,3.182782839179458,0.3854638221329927,8.257020909426188,1.4935326905165598e-16,2.778634596667697e-13
ZDHHC11B,707.5991566799906,1.682666776184576,0.21258564786325548,7.915241659526056,2.467732967522461e-15,4.131972080819609e-12
CEDORA,162.53735514672604,2.951632486959528,0.3771849303422217,7.8254252742321855,5.059436465260563e-15,7.701382197665715e-12
ATAD3C,51.40780952151825,3.4649163286446365,0.446317126939969,7.763350585268215,8.271455490247332e-15,1.154143756072511e-11
CDK2AP2,442.15834669100985,1.6824566389022744,0.21894734707399308,7.6842978980407075,1.538383202623255e-14,1.9814375649787526e-11
GIPR,117.42869300959335,3.0857507423001675,0.4039078665500945,7.6397391530314716,2.1766225592477362e-14,2.6032405808602926e-11
LINC02940,67.12328731766813,2.5700260114906675,0.3448630907094717,7.4523081208936155,9.172120181955593e-14,1.0046080885204771e-10
SPR,184.2926729274568,2.4303790647502965,0.3263876311215625,7.446296467788347,9.599695064696389e-14,1.0046080885204771e-10
LOC102724046,66.72404117551214,3.231350166933541,0.4384659925772397,7.369671129886567,1.7104946722967095e-13,1.6847366348785943e-10
CEACAM19,109.88355679095173,2.2054979944611444,0.30536756307215124,7.222437027275345,5.106405360552551e-13,4.750091742060662e-10
EFEMP1,258.3176465938357,-2.0772354341257486,0.2977046617762025,-6.977503884998941,3.004705130515117e-12,2.6479359318602694e-09
MAFF,245.149349367117,2.8851565362672518,0.4139691688194722,6.969496169231481,3.1807803436330566e-12,2.6629493036895953e-09
ENPP6,79.32474217778288,-2.354391795360498,0.341580771698481,-6.892635623643238,5.47680338521844e-12,4.366837899147503e-09
OSGIN1,101.64901236953388,2.5573515338696016,0.37162152194809817,6.8816023368710315,5.9183034275611615e-12,4.504366935958368e-09
NKX6-2,721.1370778048328,1.9194913833944252,0.2804806889753858,6.84357768232263,7.723940837765708e-12,5.623028929893436e-09
SPON1,267.99821799130694,-1.9295961950738685,0.2828388093030569,-6.82224691805409,8.962743861743098e-12,6.2530076342094345e-09
BST2,390.97030650560333,2.370231882982582,0.35127647913297705,6.7474824640488436,1.5043241157053284e-11,1.0005634967745043e-08
MLKL,60.60095621895069,2.5478310031397164,0.3778597043984299,6.742796264015453,1.553670026047367e-11,1.0005634967745043e-08
GNLY,32.9004406623134,3.9049122562646437,0.5801070990098262,6.731364368631007,1.6807946709964795e-11,1.0423417026357426e-08
PANTR1,150.1721688940221,2.040405115133219,0.30406817396010327,6.710354091187921,1.941526984837809e-11,1.1610331369330098e-08
IFITM1,804.5984747209541,2.812147217135446,0.4226956000023855,6.652889732279153,2.8739351596520348e-11,1.6593507004556436e-08
GSDMB,184.54834953218742,2.1563747392023225,0.32542595245371614,6.626314597662624,3.441712685850121e-11,1.9209345737291475e-08
ACSL6,603.1591849446204,-1.9869778785107346,0.3015668018023477,-6.58884819759781,4.4325169081593076e-11,2.394131068071595e-08
LINC00463,37.99233086134215,3.0353584632251263,0.4612470132642518,6.580765567984605,4.680320483353655e-11,2.4489776929147998e-08
QRICH2,216.9306951076716,1.7252032452830106,0.2628267435580391,6.5640323428579865,5.237183436384096e-11,2.657315135115615e-08
ISG15,1065.5317295088328,3.92898571977114,0.5998019317245648,6.550471934084018,5.735553574386305e-11,2.8143768203435578e-08
ALDH5A1,255.5124648953657,-1.944295746491743,0.2971805546129302,-6.542472972446454,6.050977396820836e-11,2.8143768203435578e-08
GLDN,339.54261253913506,-1.5099461698520917,0.23073146866229807,-6.544170929982988,5.98263401747759e-11,2.8143768203435578e-08
TGFB3,596.7674720931287,2.5153701687176517,0.38539866395224004,6.526670702287036,6.724766776956872e-11,3.043229592253131e-08
SLC6A1,1721.4132858962037,-1.8858332524574573,0.2894417507047449,-6.515415443230809,7.248874871835571e-11,3.176374482370957e-08
H1-2,72.61444822450811,2.2446215826223277,0.3448609852540631,6.508772167917716,7.576753353736671e-11,3.176374482370957e-08
FTCD,84.82841198131649,2.627034363882982,0.40362835960237475,6.508547532366023,7.588090019997508e-11,3.176374482370957e-08
LOC102724802,142.1126318221096,3.483395731516259,0.5361312165896236,6.497282052842279,8.178404687054824e-11,3.184632746047581e-08
LOC124906247,50.26502133908849,3.3449049304136276,0.5147357154332848,6.4982957858248,8.123496879370464e-11,3.184632746047581e-08
CCDC80,68.93453727090814,-2.7491324001105983,0.4229775063229094,-6.49947658921573,8.059994252485732e-11,3.184632746047581e-08
KIAA0930,4584.496895196285,1.8927221669819276,0.29203932530131066,6.481052389191482,9.108503515522821e-11,3.4196380633399835e-08
MID1IP1,2216.6479211262763,2.0095341325995686,0.31012754177141494,6.479702257727021,9.19037941055299e-11,3.4196380633399835e-08
YPEL3,2370.5049296301936,1.2755082639708222,0.19734023982816928,6.4634980938578455,1.0230982497216415e-10,3.724077628986775e-08
F3,274.20479180040815,-1.9029262843299033,0.29776142336377287,-6.390775080374037,1.6504700224416017e-10,5.8798872459068466e-08
ADA,92.1407126596594,1.878713891191096,0.2955124049480104,6.357478940762635,2.050917774383953e-10,7.154284836309356e-08
NPIPA9_1,56.11065287118271,2.760245486629211,0.43532744739830137,6.340619005591288,2.288438241659317e-10,7.819920391498695e-08
