Geneid	SRR085471	SRR085473	SRR085474	SRR087416	SRR085725	SRR085726
DDX11L1	0	0	0	0	0	0
WASH7P	0	0	1	0	0	0
MIR6859-1	0	0	0	0	0	0
MIR1302-2HG	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
LOC124903816	0	0	0	0	0	0
LOC124900384	0	0	0	0	0	0
LOC729737	4	0	8	9	9	13
LOC124903814	0	0	0	0	0	0
DDX11L17	0	0	0	0	0	2
WASH9P	7	18	13	13	9	24
MIR6859-2	0	0	0	0	0	0
LOC127239154	2	1	3	3	3	4
LOC124903815	0	0	0	0	0	0
LOC124900618	0	1	0	0	0	0
LOC112268260	0	0	0	0	0	0
OR4F29	0	0	0	0	1	1
LOC100132287	1	0	0	0	0	0
LOC124904706	0	0	0	0	0	0
LOC105378947	0	0	0	0	0	0
LOC101928626	0	0	0	0	0	0
MIR12136	1	2	0	2	0	0
OR4F16	0	1	1	0	0	0
LOC100288069	11	2	8	7	10	5
LINC01409	0	0	0	1	1	0
LOC124903817	2	0	0	1	2	1
FAM87B	4	1	3	1	4	3
LINC00115	7	1	7	12	13	10
LINC01128	274	51	242	114	243	111
LOC107984850	3	1	2	12	4	9
FAM41C	1	1	1	5	3	1
LOC284600	30	7	13	8	4	9
LINC02593	0	0	1	1	2	0
LOC107985728	1	1	5	0	2	1
SAMD11	15	4	21	13	12	19
NOC2L	399	123	469	314	432	446
KLHL17	88	131	96	171	117	250
PLEKHN1	1	1	1	0	0	0
PERM1	2	0	2	1	1	0
HES4	111	97	77	71	40	124
ISG15	237	184	196	2421	91	3455
AGRN	1941	839	1872	1068	917	1523
LOC100288175	7	7	10	20	7	27
LOC105378948	3	1	4	19	2	14
RNF223	0	0	0	0	0	0
C1orf159	177	99	131	133	111	155
LOC124903819	0	3	1	1	1	2
LOC124903820	0	1	1	3	0	1
LINC01342	1	0	0	1	0	1
LOC124903818	1	0	0	0	0	0
MIR200B	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0
MIR429	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0
TTLL10	0	0	1	2	0	0
TNFRSF18	9	10	13	8	10	15
TNFRSF4	6	13	1	20	5	23
SDF4	912	404	1015	752	1035	965
B3GALT6	229	145	243	189	157	217
C1QTNF12	8	14	4	5	8	5
UBE2J2	365	247	352	337	298	498
LINC01786	70	16	53	32	96	28
SCNN1D	211	222	187	214	250	212
ACAP3	2006	1696	1778	2002	2252	2435
MIR6726	0	0	1	1	1	0
SNORD167	1	0	6	1	6	3
PUSL1	87	45	67	59	57	82
INTS11	809	624	776	777	913	918
MIR6727	1	4	1	0	1	5
CPTP	353	241	322	265	223	407
TAS1R3	5	8	7	15	15	14
DVL1	1364	1086	1456	1380	1186	2224
MIR6808	0	0	0	0	0	1
MXRA8	204	70	190	91	135	110
AURKAIP1	625	364	627	581	479	712
CCNL2	929	663	879	944	1321	1283
MRPL20-AS1	175	161	184	123	117	177
MRPL20	491	167	491	408	328	468
MRPL20-DT	28	14	27	23	22	30
ANKRD65	234	186	199	205	229	311
ANKRD65-AS1	14	8	13	12	13	12
TMEM88B	1270	596	1555	574	815	756
LINC01770	3	11	6	5	1	3
LOC107985729	0	0	3	4	2	2
VWA1	950	784	1101	544	654	815
ATAD3C	12	28	8	108	14	120
ATAD3B	140	116	110	100	105	123
ATAD3A	128	121	153	83	107	114
TMEM240	194	110	250	200	172	291
SSU72	976	595	1071	1310	795	1368
FNDC10	228	386	296	150	210	192
LOC105378586	10	1	9	8	13	5
MIB2	498	140	510	267	427	246
LOC124903821	32	28	53	58	52	64
MMP23B	0	0	0	1	0	0
CDK11B	215	215	196	245	181	288
SLC35E2B	490	40	541	192	449	331
MMP23A	0	0	1	0	0	0
CDK11A	42	108	62	97	104	94
SLC35E2A	158	49	270	173	219	190
LOC112268218	1	0	0	0	1	0
NADK	362	93	329	208	271	258
GNB1	9255	1474	10631	5014	7373	5762
GNB1-DT	19	3	18	16	15	21
LOC124903822	2	1	1	0	4	0
CALML6	3	8	4	7	4	9
TMEM52	15	10	10	9	12	13
CFAP74	49	14	55	41	70	51
LOC107984872	2	1	0	0	1	0
LOC105378589	29	1	30	14	216	12
GABRD	1745	265	2032	1209	2703	1206
LOC105378590	0	0	0	1	1	0
PRKCZ	1787	231	1927	1071	1757	1373
PRKCZ-DT	0	0	0	0	1	0
PRKCZ-AS1	35	25	29	44	76	50
FAAP20	157	224	163	195	176	219
LOC112268219	21	10	22	19	19	10
LOC105378593	5	6	4	7	4	2
LOC124903823	0	2	0	0	1	1
SKI	1108	487	1110	960	2449	1188
LOC124903824	1	2	0	2	4	0
MORN1	66	40	91	48	169	54
LOC100129534	100	42	103	173	99	166
RER1	514	128	501	298	391	388
PEX10	255	69	244	77	137	109
PLCH2	1	0	1	0	1	0
PANK4	0	0	0	0	0	0
HES5	0	0	0	0	0	0
TNFRSF14-AS1	0	0	0	0	0	0
TNFRSF14	0	0	0	0	0	0
LOC100996583	0	0	0	0	0	0
PRXL2B	1	0	0	0	0	0
MMEL1	0	0	0	0	0	0
MMEL1-AS1	0	0	0	0	0	0
TTC34	1	0	0	0	0	0
LOC105378602	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0
LOC105378598	0	0	0	0	0	0
LOC107984904	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	0
LOC124903825	0	0	1	0	0	0
LOC124903826	0	0	0	0	0	0
ACTRT2	0	1	0	0	0	0
LOC124903827	219	95	136	58	91	85
PRDM16-DT	0	0	0	0	0	0
PRDM16	198	106	182	78	121	102
MIR4251	0	0	0	0	0	0
LOC105378606	1	4	1	3	2	8
LOC107984909	1	1	4	3	1	2
LOC105378605	4	2	3	3	2	6
LOC124903828	9	32	12	34	11	23
LOC105378604	8	3	9	9	11	22
ARHGEF16	21	16	11	18	24	25
MEGF6	110	99	71	84	68	74
LOC105378608	0	0	0	0	0	0
MIR551A	0	0	0	0	0	0
TPRG1L	2038	347	2151	1537	1411	1570
WRAP73	172	73	155	150	164	211
TP73	14	10	10	8	98	8
TP73-AS3	0	1	0	0	2	0
TP73-AS2	0	0	2	0	0	0
GFOD3P	252	125	283	173	266	207
CCDC27	0	0	1	0	0	0
SMIM1	5	4	6	4	3	6
LRRC47	881	228	965	601	695	702
CEP104	310	145	381	208	361	277
LOC124903829	1	1	6	2	3	1
DFFB	54	29	74	91	92	137
C1orf174	130	38	146	114	120	130
